_id,tripduration,start station id,start station name,end station id,end station name,bikeid,usertype,birth year,gender,start station location,end station location,start time,stop time
572bb8232b288919b68af95c,1125,3224,W 13 St & Hudson St,327,Vesey Pl & River Terrace,19002,Subscriber,1955,1,"{'$numberDouble': '-74.00513872504234'}, {'$numberDouble': '40.73997354103409'}","{'$numberDouble': '-74.01658354'}, {'$numberDouble': '40.7153379'}",2016-01-02T12:11:20,2016-01-02T12:30:05
572bb8232b288919b68af95f,463,380,W 4 St & 7 Ave S,250,Lafayette St & Jersey St,22440,Subscriber,1964,1,"{'$numberDouble': '-74.00293877'}, {'$numberDouble': '40.73401143'}","{'$numberDouble': '-73.99565293'}, {'$numberDouble': '40.72456089'}",2016-01-02T12:11:33,2016-01-02T12:19:16
572bb8232b288919b68af964,2718,3165,Central Park West & W 72 St,3168,Central Park West & W 85 St,18009,Customer,0,0,"{'$numberDouble': '-73.9762057363987'}, {'$numberDouble': '40.77579376683666'}","{'$numberDouble': '-73.96961715'}, {'$numberDouble': '40.78472675'}",2016-01-02T12:11:53,2016-01-02T12:57:11
572bb8232b288919b68af967,1779,3160,Central Park West & W 76 St,463,9 Ave & W 16 St,24000,Subscriber,1986,2,"{'$numberDouble': '-73.97374737'}, {'$numberDouble': '40.77896784'}","{'$numberDouble': '-74.00443172'}, {'$numberDouble': '40.74206539'}",2016-01-02T12:12:02,2016-01-02T12:41:41
572bb8232b288919b68af96c,650,483,E 12 St & 3 Ave,296,Division St & Bowery,23325,Subscriber,1973,1,"{'$numberDouble': '-73.98889957'}, {'$numberDouble': '40.73223272'}","{'$numberDouble': '-73.9970468'}, {'$numberDouble': '40.71413089'}",2016-01-02T12:12:12,2016-01-02T12:23:03
572bb8232b288919b68af96e,959,462,W 22 St & 10 Ave,426,West St & Chambers St,22487,Subscriber,1972,2,"{'$numberDouble': '-74.00451887'}, {'$numberDouble': '40.74691959'}","{'$numberDouble': '-74.01322069'}, {'$numberDouble': '40.71754834'}",2016-01-02T12:12:16,2016-01-02T12:28:15
572bb8232b288919b68af96f,2708,3165,Central Park West & W 72 St,3168,Central Park West & W 85 St,23749,Customer,0,0,"{'$numberDouble': '-73.9762057363987'}, {'$numberDouble': '40.77579376683666'}","{'$numberDouble': '-73.96961715'}, {'$numberDouble': '40.78472675'}",2016-01-02T12:12:19,2016-01-02T12:57:28
572bb8232b288919b68af97a,142,297,E 15 St & 3 Ave,2003,1 Ave & E 18 St,23193,Subscriber,1975,2,"{'$numberDouble': '-73.986923'}, {'$numberDouble': '40.734232'}","{'$numberDouble': '-73.98054420948029'}, {'$numberDouble': '40.733812191966315'}",2016-01-02T12:12:53,2016-01-02T12:15:16
572bb8232b288919b68af97b,413,466,W 25 St & 6 Ave,509,9 Ave & W 22 St,16348,Subscriber,1968,1,"{'$numberDouble': '-73.99144871'}, {'$numberDouble': '40.74395411'}","{'$numberDouble': '-74.00197139'}, {'$numberDouble': '40.7454973'}",2016-01-02T12:12:55,2016-01-02T12:19:48
572bb8232b288919b68af97d,345,497,E 17 St & Broadway,116,W 17 St & 8 Ave,20182,Subscriber,1981,1,"{'$numberDouble': '-73.99009296'}, {'$numberDouble': '40.73704984'}","{'$numberDouble': '-74.00149746'}, {'$numberDouble': '40.74177603'}",2016-01-02T12:12:57,2016-01-02T12:18:43
